Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Here Comes the Boom,12-10-2012,https://en.wikipedia.org/wiki/Here_Comes_the_Boom,Comedy,Kevin James,Salma Hayek,Henry Winkler,Joe Rogan,unknown,42000000,73100000,31100000,Frank Coraci,74.05%,2012
Hit and Run,22-08-2012,https://en.wikipedia.org/wiki/Hit_and_Run_(2012_film),Action,Dax Shepard,Kristen Bell,Bradley Cooper,Tom Arnold,Kristin Chenoweth,2000000,14500000,12500000,Dax Shepard,625.00%,2012
Hitman: Agent 47,21-08-2015,https://en.wikipedia.org/wiki/Hitman:_Agent_47,Action,Rupert Friend,Zachary Quinto,Hannah Ware,Thomas Kretschmann,unknown,35000000,82300000,47300000,Aleksander Bach,135.14%,2015
Home,07-03-2015,https://en.wikipedia.org/wiki/Home_(2015_animated_film),Animation,Jim Parsons,Rihanna,Jennifer Lopez,Steve Martin,Matt Jones,135000000,386000000,251000000,Tim Johnson,185.93%,2015
Hope Springs,08-08-2012,https://en.wikipedia.org/wiki/Hope_Springs_(2012_film),Romance,Meryl Streep,Tommy Lee Jones,Steve Carell,Mimi Rogers,Elisabeth Shue,30000000,114300000,84300000,David Frankel,281.00%,2012
Horrible Bosses 2,26-11-2014,https://en.wikipedia.org/wiki/Horrible_Bosses_2,Comedy,Jason Bateman,Charlie Day,Jason Sudeikis,Kevin Spacey,Jennifer Aniston,57000000,107700000,50700000,Sean Anders,88.95%,2014
Hot Pursuit,08-05-2015,https://en.wikipedia.org/wiki/Hot_Pursuit_(2015_film),Action,Reese Witherspoon,SofÃ­a Vergara,Jim Gaffigan,John Carroll Lynch,unknown,35000000,51700000,16700000,Anne Fletcher,47.71%,2015
Hotel Transylvania,28-09-2012,https://en.wikipedia.org/wiki/Hotel_Transylvania,Fantasy,Adam Sandler,Selena Gomez,Andy Samberg,Kevin James,Fran Drescher,85000000,358400000,273400000,Genndy Tartakovsky,321.65%,2012
Hotel Transylvania 2,25-09-2015,https://en.wikipedia.org/wiki/Hotel_Transylvania_2,Fantasy,Adam Sandler,Andy Samberg,Selena Gomez,Kevin James,Steve Buscemi,80000000,473000000,393000000,Genndy Tartakovsky,491.25%,2015
How to Train Your Dragon 2,16-05-2014,https://en.wikipedia.org/wiki/How_to_Train_Your_Dragon_2,Family,Jay Baruchel,Gerard Butler,Craig Ferguson,America Ferrera,Jonah Hill,145000000,621500000,476500000,Dean DeBlois,328.62%,2014
I,14-01-2015,https://en.wikipedia.org/wiki/I_(film),Romance,Vikram,Amy Jackson,N. Santhanam,Suresh Gopi,Upen Patel,15000000,65000000,50000000,S. Shankar,333.33%,2015
I Saw the Light,11-09-2015,https://en.wikipedia.org/wiki/I_Saw_the_Light_(film),Drama,Elizabeth Olsen,unknown,unknown,unknown,unknown,13000000,2600000,-10400000,Marc Abraham,-80.00%,2015
Ice Age: Collision Course,22-07-2016,https://en.wikipedia.org/wiki/Ice_Age:_Collision_Course,Adventure,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Jennifer Lopez,105000000,368300000,263300000,Mike Thurmeier,250.76%,2016
Ice Age: Continental Drift,13-07-2012,https://en.wikipedia.org/wiki/Ice_Age:_Continental_Drift,Adventure,Ray Romano,John Leguizamo,Denis Leary,Queen Latifah,Seann William Scott,95000000,877000000,782000000,Steve Martino,823.16%,2012
Identity Thief,08-02-2013,https://en.wikipedia.org/wiki/Identity_Thief,Action,Jason Bateman,Melissa McCarthy,Amanda Peet,John Cho,Clark Duke,35000000,174000000,139000000,Seth Gordon,397.14%,2013
If I Stay,18-08-2014,https://en.wikipedia.org/wiki/If_I_Stay_(film),Drama,Chloe Grace Moretz,Mireille Enos,Lauren Lee Smith,Liana Liberato,Jamie Blackley,11000000,78900000,67900000,R. J. Cutler,617.27%,2014
In the Heart of the Sea,11-12-2015,https://en.wikipedia.org/wiki/In_the_Heart_of_the_Sea_(film),Biography,Chris Hemsworth,Benjamin Walker,Cillian Murphy,Tom Holland,Ben Whishaw,100000000,93900000,-6100000,Ron Howard,-6.10%,2015
Independence Day: Resurgence,20-06-2016,https://en.wikipedia.org/wiki/Independence_Day:_Resurgence,Action,Jeff Goldblum,Bill Pullman,Sela Ward,Liam Hemsworth,Vivica A. Fox,165000000,382300000,217300000,Roland Emmerich,131.70%,2016
